,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,1.755,5,700,705,2,10,2,-1.0
1,1.755,6,756,802,1,1,2,1.755
2,10.264,20,1000,1020,3,40,2,-1.0
3,3.299,15,1045,1100,11,40,2,-1.0
4,14.682,30,1110,1140,12,1,2,14.682
5,12.553,20,1330,1350,1,40,6,12.553
6,12.432,20,1355,1415,11,1,6,12.432
7,6.934,20,715,735,1,10,7,6.934
8,2.819,20,1630,1650,3,50,7,2.819
9,5.588,20,1745,1805,17,1,7,5.588
10,5.685,15,615,630,1,10,11,5.685
11,5.687,15,1500,1515,3,1,11,5.687
12,49.877,60,530,630,1,10,13,49.877
13,55.248,60,1630,1730,3,40,13,55.248
14,4.939,10,1735,1745,12,40,13,4.939
15,4.363,10,1750,1800,12,1,13,4.363
16,0.597,5,1500,1505,1,97,14,0.597
17,3.777,45,530,615,1,97,15,3.777
18,3.11,30,700,730,5,80,15,3.11
19,0.212,5,800,805,13,1,15,0.212
20,0.062,5,955,1000,1,50,15,0.062
21,0.062,5,1130,1135,16,1,15,0.062
22,6.873,15,2300,2315,1,10,15,6.873
23,6.873,15,2515,2530,3,1,15,6.873
24,5.091,5,712,717,1,50,16,5.091
25,5.091,5,723,728,17,1,16,5.091
26,18.335,32,1108,1140,1,40,16,18.335
27,5.736,15,1150,1205,11,10,16,5.736
28,7.561,18,1227,1245,4,10,16,7.561
29,29.421,37,1545,1622,4,97,16,29.421
30,14.153,30,800,830,1,40,17,14.153
31,0.13,3,835,838,12,40,17,0.13
32,34.556,120,845,1045,12,40,17,34.556
33,48.921,105,1145,1330,11,1,17,48.921
34,20.358,30,1600,1630,1,10,17,20.358
35,20.367,75,2100,2215,3,1,17,20.367
36,10.1,15,545,600,1,10,19,10.1
37,11.246,20,830,850,3,10,19,11.246
38,1.773,15,930,945,3,10,19,1.773
39,1.648,10,1005,1015,3,10,19,1.648
40,1.527,10,1150,1200,3,80,19,1.527
41,3.042,10,1230,1240,13,10,19,3.042
42,16.262,35,1310,1345,3,10,19,16.262
43,5.157,25,1420,1445,3,80,19,5.157
44,4.98,25,1505,1530,13,1,19,4.98
45,7.958,20,830,850,1,10,20,7.958
46,7.971,20,1810,1830,3,1,20,7.971
47,15.15,30,730,800,1,10,21,15.15
48,15.165,30,1605,1635,3,1,21,15.165
49,13.603,24,851,915,1,40,24,13.603
50,0.75,3,931,934,11,10,24,0.75
51,0.208,1,1620,1621,3,40,24,0.208
52,0.208,1,1632,1633,11,10,24,0.208
53,13.223,21,1635,1656,3,1,24,13.223
54,28.935,36,754,830,1,10,25,28.935
55,195.565,283,1400,1843,3,50,25,195.565
56,217.238,240,1500,1900,15,1,27,217.238
57,8.255,15,700,715,1,10,28,8.255
58,8.255,15,1600,1615,3,1,28,8.255
59,3.389,5,1000,1005,1,40,30,3.389
60,3.389,5,1013,1018,11,1,30,3.389
61,12.107,15,745,800,1,10,32,12.107
