,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,3.265,60,900,1000,1,40,2,3.265
1,1.496,65,1045,1150,11,80,2,1.496
2,4.16,15,1215,1230,13,1,2,4.16
3,7.983,15,930,945,1,20,4,7.983
4,0.609,5,1245,1250,19,50,4,0.609
5,2.008,15,1345,1400,17,40,4,2.008
6,1.974,10,1630,1640,11,50,4,1.974
7,8.001,20,1700,1720,17,1,4,8.001
8,1.258,5,1915,1920,1,40,4,1.258
9,3.457,15,1930,1945,11,80,4,3.457
10,4.672,15,2015,2030,13,1,4,4.672
11,0.643,5,725,730,1,10,5,0.643
12,0.574,5,1200,1205,3,40,5,0.574
13,0.387,4,1208,1212,14,40,5,0.387
14,1.197,6,1214,1220,12,1,5,1.197
15,0.643,5,1255,1300,1,10,5,0.643
16,0.646,5,1700,1705,3,1,5,0.646
17,4.623,11,837,848,1,10,6,4.623
18,4.784,10,1228,1238,3,1,6,4.784
19,4.623,9,1318,1327,1,10,6,4.623
20,4.784,9,1607,1616,3,1,6,4.784
21,3.597,9,1736,1745,1,70,6,3.597
22,3.168,10,1749,1759,6,1,6,3.168
23,1.446,3,650,653,1,70,7,1.446
24,1.446,4,654,658,6,1,7,1.446
25,3.689,15,900,915,1,40,7,3.689
26,5.049,15,945,1000,11,40,7,5.049
27,2.135,10,1030,1040,11,50,7,2.135
28,6.846,15,1140,1155,16,1,7,6.846
29,1.446,4,1350,1354,1,70,7,1.446
30,1.446,4,1415,1419,6,1,7,1.446
31,19.338,15,1545,1600,7,10,9,19.338
32,19.259,15,1800,1815,3,1,9,19.259
33,138.451,140,500,720,1,80,10,138.451
34,113.051,150,730,1000,13,50,10,113.051
35,97.578,150,1030,1300,11,80,10,-1.0
36,147.457,120,1330,1530,13,50,10,147.457
37,4.011,30,1630,1700,17,50,10,4.011
38,4.291,15,2030,2045,17,1,10,4.291
39,7.983,15,915,930,1,20,12,7.983
40,3.162,10,1220,1230,19,40,12,3.162
41,2.082,10,1245,1255,11,80,12,2.082
42,2.685,13,1315,1328,13,97,12,2.685
43,1.309,5,1435,1440,5,40,12,1.309
44,0.264,5,1450,1455,11,40,12,0.264
45,14.7,30,1700,1730,11,1,12,14.7
46,2.809,15,900,915,1,40,14,-1.0
47,2.814,15,1000,1015,11,1,14,-1.0
48,3.375,20,1700,1720,1,50,14,-1.0
49,1.464,15,1815,1830,15,40,14,-1.0
50,4.169,15,1900,1915,11,1,14,4.169
51,24.111,50,600,650,1,50,15,24.111
52,10.667,20,1110,1130,15,40,15,10.667
53,3.667,10,1150,1200,11,80,15,3.667
54,10.524,20,1300,1320,13,1,15,10.524
55,2.843,10,730,740,1,70,18,2.843
56,2.801,15,745,800,6,80,18,2.801
57,4.757,5,805,810,13,1,18,4.757
58,2.406,10,1000,1010,1,40,18,2.406
59,0.305,3,1100,1103,11,40,18,0.305
60,2.271,7,1118,1125,11,1,18,2.271
61,2.843,15,1445,1500,1,70,18,2.843
62,5.804,10,1505,1515,6,80,18,5.804
63,6.066,10,1520,1530,13,1,18,6.066
64,2.273,5,530,535,15,1,19,2.273
65,1.824,7,1530,1537,1,40,19,1.824
66,1.829,7,1630,1637,11,1,19,-1.0
67,1.396,5,715,720,1,70,20,1.396
68,2.344,20,725,745,6,70,20,2.344
69,23.518,55,750,845,6,10,20,23.518
70,27.045,30,1345,1415,3,70,20,27.045
71,2.344,10,1455,1505,6,70,20,2.344
72,2.2,15,1525,1540,6,1,20,2.2
73,26.481,30,1345,1415,1,30,21,26.481
74,25.268,120,1615,1815,18,1,21,-1.0
75,5.925,15,545,600,1,50,23,5.925
76,6.56,12,740,752,16,1,23,6.56
77,21.343,20,907,927,1,97,23,21.343
78,20.841,29,1231,1300,5,1,23,20.841
79,13.706,15,715,730,1,70,25,13.706
80,1.209,10,742,752,6,80,25,1.209
81,12.802,36,802,838,13,1,25,12.802
82,20.112,35,1100,1135,1,70,25,20.112
83,4.57,8,1139,1147,6,80,25,4.57
84,5.031,12,1230,1242,13,70,25,5.031
85,19.666,26,1249,1315,6,1,25,19.666
86,13.706,28,1400,1428,1,70,25,13.706
87,14.067,30,1445,1515,6,1,25,14.067
88,19.599,33,1845,1918,1,40,25,19.599
89,0.62,13,2045,2058,11,1,25,0.62
90,19.166,33,2145,2218,1,1,25,19.166
91,13.706,15,715,730,1,70,26,13.706
