,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,3.834,10,745,755,1,40,0,3.834
1,4.113,10,820,830,11,40,0,4.113
2,6.16,10,915,925,11,40,0,6.16
3,2.679,10,1003,1013,14,40,0,2.679
4,1.035,4,1023,1027,11,1,0,1.035
5,1.686,5,1105,1110,1,40,0,1.686
6,1.776,5,1145,1150,11,1,0,1.776
7,2.122,7,735,742,1,50,2,2.122
8,0.804,6,832,838,16,40,2,0.804
9,1.918,6,900,906,11,1,2,1.918
10,38.485,42,1719,1801,1,10,2,38.485
11,37.983,41,2245,2326,3,1,2,37.983
12,1.682,6,930,936,1,40,4,1.682
13,1.704,7,954,1001,11,1,4,1.704
14,1.051,4,738,742,1,10,5,1.051
15,1.068,5,1610,1615,3,40,5,1.068
16,0.96,3,1617,1620,11,10,5,0.96
17,0.96,3,1845,1848,3,1,5,0.96
18,2.816,20,1500,1520,1,80,6,2.816
19,3.114,15,1700,1715,13,1,6,3.114
20,49.393,60,1000,1100,1,40,8,-1.0
21,49.25,60,1200,1300,11,1,8,-1.0
22,2.311,15,1730,1745,1,40,9,2.311
23,2.291,15,1820,1835,11,1,9,2.291
24,9.834,15,943,958,1,30,11,-1.0
25,9.821,15,1041,1056,18,30,11,-1.0
26,4.859,18,1057,1115,6,97,11,4.859
27,4.863,18,1226,1244,5,70,11,4.863
28,29.537,55,1245,1340,18,30,11,-1.0
29,16.305,35,1440,1515,18,50,11,-1.0
30,20.986,34,1600,1634,17,1,11,-1.0
31,5.623,13,1800,1813,1,10,11,5.623
32,5.627,20,2140,2200,4,1,11,5.627
33,9.506,28,2300,2328,1,80,11,-1.0
34,9.513,28,2330,2358,13,1,11,-1.0
35,12.253,30,600,630,1,1,12,12.253
36,2.184,15,745,800,1,10,12,2.184
37,2.177,15,1300,1315,3,50,12,2.177
38,2.184,15,1345,1400,16,10,12,2.184
39,2.177,15,1630,1645,3,1,12,2.177
40,47.48,80,805,925,1,30,13,47.48
41,0.461,5,1130,1135,18,30,13,0.461
42,47.35,75,1230,1345,18,1,13,47.35
43,1.887,7,1915,1922,2,40,14,1.887
44,1.746,8,2013,2021,11,1,14,1.746
45,25.089,30,630,700,1,10,15,25.089
46,25.197,40,1630,1710,3,1,15,25.197
47,6.062,15,845,900,1,40,16,6.062
48,14.622,30,1000,1030,14,40,16,14.622
49,5.04,30,1100,1130,14,40,16,5.04
50,19.765,45,1300,1345,14,40,16,19.765
51,9.994,60,1430,1530,14,40,16,9.994
52,5.961,45,1615,1700,14,40,16,5.961
53,32.724,75,1900,2015,14,1,16,32.724
54,0.864,2,750,752,1,40,17,0.864
55,9.266,36,754,830,11,10,17,9.266
56,2.195,16,1115,1131,4,10,17,2.195
57,4.103,65,1231,1336,4,10,17,4.103
58,16.337,77,1749,1906,3,1,17,16.337
59,0.254,8,845,853,1,10,18,0.254
60,0.254,10,1815,1825,3,1,18,0.254
61,3.118,15,515,530,1,10,19,3.118
62,2.781,15,1700,1715,3,1,19,2.781
63,22.325,45,704,749,1,10,20,22.325
64,47.525,62,1621,1723,3,40,20,47.525
65,1.337,3,1902,1905,13,50,20,1.337
66,14.515,29,2320,2349,15,1,20,14.515
67,14.245,25,730,755,1,10,21,14.245
68,14.33,25,1745,1810,3,1,21,14.33
69,3.425,15,915,930,1,50,23,3.425
70,3.435,12,1030,1042,16,1,23,3.435
71,15.411,15,1445,1500,1,40,23,-1.0
72,27.051,45,1630,1715,11,50,23,27.051
73,23.348,20,2100,2120,17,1,23,23.348
74,17.863,25,705,730,1,10,24,17.863
75,17.811,28,1646,1714,3,30,24,17.811
76,3.635,7,1728,1735,18,20,24,3.635
77,3.029,7,1942,1949,19,1,24,3.029
78,84.467,75,900,1015,1,80,29,84.467
79,0.87,10,1115,1125,13,80,29,0.87
80,8.798,20,1425,1445,13,40,29,8.798
81,82.172,90,1500,1630,11,1,29,82.172
82,3.137,3,837,840,1,80,30,3.137
83,3.137,5,845,850,13,1,30,3.137
84,7.173,25,1635,1700,1,40,30,7.173
85,4.187,10,1720,1730,11,40,30,4.187
86,3.065,5,1733,1738,12,1,30,3.065
87,1.818,5,1845,1850,1,80,30,-1.0
88,1.825,5,2015,2020,13,1,30,-1.0
89,2.358,10,505,515,1,10,31,2.358
90,2.358,8,1530,1538,3,1,31,2.358
91,1.559,11,1817,1828,1,20,31,1.559
92,1.559,7,1935,1942,19,1,31,1.559
93,5.271,15,737,752,1,10,32,5.271
94,3.005,7,1215,1222,3,40,32,3.005
95,3.096,7,1255,1302,11,10,32,3.096
96,5.237,18,1658,1716,3,50,32,5.237
97,2.024,11,600,611,16,10,33,2.024
98,2.024,10,1435,1445,3,1,33,2.024
99,2.719,15,1600,1615,1,50,33,2.719
100,2.726,20,1717,1737,16,1,33,2.726
101,1.394,10,1030,1040,1,40,34,1.394
102,1.439,15,1045,1100,12,1,34,1.439
103,1.867,15,1130,1145,1,40,34,1.867
104,3.313,15,1200,1215,12,40,34,3.313
105,1.402,15,1230,1245,11,1,34,1.402
106,1.799,15,1500,1515,1,40,34,1.799
107,4.228,30,1530,1600,14,10,34,4.228
108,1.549,15,2000,2015,3,80,34,1.549
109,5.731,30,2100,2130,13,1,34,5.731
110,3.752,5,650,655,1,10,35,3.752
111,3.758,5,1535,1540,3,1,35,3.758
112,2.582,15,800,815,1,80,36,2.582
113,2.562,20,825,845,13,1,36,2.562
114,2.805,20,1443,1503,1,80,36,2.805
115,0.253,5,1542,1547,13,40,36,0.253
116,3.854,13,1558,1611,11,1,36,3.854
117,4.461,20,1115,1135,7,50,37,4.461
118,4.467,20,1650,1710,15,1,37,4.467
119,23.902,30,630,700,1,10,38,23.902
120,24.373,30,1545,1615,3,1,38,24.373
121,1.508,10,1820,1830,16,40,38,1.508
122,1.547,5,1835,1840,11,80,38,1.547
123,3.115,20,1845,1905,13,1,38,3.115
124,11.613,25,745,810,1,10,39,11.613
125,0.473,10,1720,1730,3,40,39,0.473
126,1.482,6,1735,1741,14,40,39,1.482
127,2.012,6,1745,1751,11,40,39,2.012
128,8.881,18,1802,1820,11,1,39,8.881
129,2.725,15,710,725,1,10,40,2.725
130,0.603,9,1536,1545,3,40,40,0.603
131,1.593,5,1555,1600,11,70,40,1.593
132,2.532,10,1605,1615,6,1,40,2.532
133,2.725,15,710,725,1,10,41,2.725
134,0.603,9,1536,1545,3,40,41,0.603
135,1.593,5,1555,1600,11,70,41,1.593
136,2.532,10,1605,1615,6,1,41,2.532
137,0.235,3,1900,1903,1,40,43,0.235
138,0.235,5,1925,1930,11,1,43,0.235
139,6.632,20,700,720,1,10,45,6.632
140,8.137,15,1600,1615,3,1,45,8.137
141,3.985,10,515,525,1,10,46,3.985
142,0.165,3,1400,1403,3,40,46,0.165
143,4.099,15,1445,1500,11,1,46,4.099
144,1.411,10,1730,1740,1,10,46,1.411
145,1.399,10,1830,1840,3,1,46,1.399
146,0.425,5,825,830,1,30,47,0.425
147,0.43,5,915,920,18,70,47,0.43
148,0.604,5,925,930,1,40,47,-1.0
149,0.652,5,940,945,11,1,47,0.652
150,1.43,5,1500,1505,1,70,47,1.43
151,6.039,14,1506,1520,6,70,47,6.039
152,6.462,15,1545,1600,6,1,47,6.462
153,0.711,5,2000,2005,1,40,47,0.711
154,0.711,5,2020,2025,11,1,47,-1.0
155,8.504,18,1711,1729,1,10,50,8.504
156,8.547,13,2255,2308,3,1,50,8.547
157,155.799,155,1440,1715,7,1,52,155.799
