,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,7.439,10,1615,1625,2,40,0,7.439
1,4.902,20,1630,1650,11,40,0,4.902
2,10.182,25,1655,1720,11,1,0,10.182
3,32.853,45,600,645,1,10,1,32.853
4,32.755,50,1530,1620,3,1,1,32.755
5,2.979,10,700,710,1,40,4,2.979
6,2.979,10,1200,1210,14,1,4,2.979
7,0.869,10,900,910,1,80,5,0.869
8,3.971,15,945,1000,13,50,5,3.971
9,4.713,30,2100,2130,15,1,5,4.713
10,3.593,8,737,745,1,10,7,3.593
11,3.591,7,1230,1237,3,1,7,3.591
12,3.827,7,1340,1347,1,40,7,3.827
13,3.825,12,1435,1447,11,1,7,3.825
14,7.188,10,500,510,1,40,9,-1.0
15,2.241,10,525,535,11,10,9,-1.0
16,8.56,15,1900,1915,3,1,9,-1.0
17,58.591,120,830,1030,1,10,12,58.591
18,1.32,5,1230,1235,4,40,12,1.32
19,1.19,10,1245,1255,11,10,12,1.19
20,22.159,30,1430,1500,4,40,12,22.159
21,5.752,10,1505,1515,12,10,12,5.752
22,65.883,90,1630,1800,4,1,12,65.883
23,28.502,35,735,810,1,10,13,28.502
24,4.819,15,1650,1705,3,80,13,4.819
25,2.072,6,1828,1834,13,80,13,2.072
26,4.243,17,1845,1902,13,70,13,4.243
27,2.424,5,1905,1910,6,50,13,2.424
28,2.428,7,2220,2227,15,70,13,2.428
29,20.901,23,2307,2330,6,1,13,20.901
30,7.786,15,905,920,1,20,14,7.786
31,7.786,17,1305,1322,19,1,14,7.786
32,18.224,15,945,1000,1,10,16,18.224
33,18.225,15,1645,1700,3,1,16,18.225
34,35.74,40,710,750,1,10,17,-1.0
35,9.586,30,752,822,6,10,17,9.586
36,9.246,22,909,931,4,80,17,9.246
37,5.479,10,955,1005,13,10,17,5.479
38,5.577,6,1340,1346,3,10,17,5.577
39,7.504,10,1600,1610,3,40,17,7.504
40,5.751,4,1613,1617,11,40,17,5.751
41,3.189,4,1620,1624,14,70,17,3.189
42,36.112,42,1708,1750,3,1,17,-1.0
43,0.869,10,900,910,1,80,18,0.869
44,3.971,15,945,1000,13,50,18,3.971
45,4.713,30,2100,2130,15,1,18,4.713
46,22.563,35,545,620,1,10,19,22.563
47,22.516,40,1530,1610,3,40,19,22.516
48,2.064,10,1700,1710,11,1,19,2.064
49,7.786,15,905,920,1,20,20,7.786
