,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,3.462,11,904,915,1,70,3,3.462
1,43.0,63,917,1020,6,50,3,43.0
2,4.107,17,1214,1231,15,80,3,4.107
3,34.675,45,1308,1353,13,70,3,34.675
4,3.479,9,1437,1446,6,1,3,3.479
5,4.738,10,650,700,1,10,4,4.738
6,4.237,10,1730,1740,3,1,4,4.237
7,3.942,15,630,645,1,10,5,3.942
8,3.547,15,1530,1545,3,40,5,3.547
9,3.28,15,1615,1630,11,70,5,3.28
10,2.624,15,1645,1700,17,1,5,-1.0
11,2.584,5,803,808,1,97,7,2.584
12,1.726,10,1030,1040,5,40,7,1.726
13,1.195,5,1125,1130,11,1,7,1.195
14,1.657,5,1445,1450,1,70,7,1.657
15,1.013,25,1500,1525,8,20,7,-1.0
16,1.47,5,1645,1650,15,1,7,1.47
17,3.0,15,945,1000,1,10,8,3.0
18,2.994,15,2100,2115,3,1,8,2.994
19,2.994,15,2200,2215,3,1,8,-1.0
20,20.785,32,655,727,1,10,9,20.785
21,19.678,35,1605,1640,3,1,9,19.678
22,9.816,15,715,730,1,10,10,9.816
23,10.179,15,1715,1730,3,1,10,10.179
24,5.833,15,830,845,1,40,11,5.833
25,3.902,15,1030,1045,11,1,11,3.902
26,1.803,5,1315,1320,1,50,11,1.803
27,1.742,5,1430,1435,16,1,11,1.742
28,2.193,8,452,500,1,50,12,2.193
29,2.133,6,617,623,16,1,12,2.133
30,2.793,5,849,854,1,40,12,2.793
31,37.942,37,858,935,11,50,12,37.942
32,4.487,10,1126,1136,17,50,12,4.487
33,4.682,10,1155,1205,17,50,12,4.682
34,19.136,23,1348,1411,17,80,12,19.136
35,23.817,29,1418,1447,13,1,12,23.817
36,2.643,5,650,655,1,10,13,2.643
37,2.637,6,1204,1210,3,1,13,2.637
38,2.643,5,1250,1255,1,10,13,2.643
39,2.637,14,1601,1615,3,1,13,2.637
40,3.765,11,1810,1821,1,70,13,3.765
41,3.785,8,1827,1835,6,1,13,3.785
42,1.977,12,755,807,2,70,14,1.977
43,1.975,6,815,821,6,1,14,1.975
44,2.772,10,1045,1055,2,30,14,2.772
45,0.373,4,1144,1148,18,40,14,0.373
46,3.071,18,1211,1229,11,1,14,3.071
47,1.977,8,1455,1503,2,70,14,1.977
48,1.975,7,1510,1517,6,1,14,1.975
49,1.452,12,1520,1532,2,1,14,1.452
50,1.46,11,1654,1705,2,1,14,1.46
51,3.763,20,815,835,2,70,16,3.763
52,0.888,7,840,847,6,80,16,0.888
53,3.962,10,900,910,13,1,16,3.962
54,3.228,15,1000,1015,1,10,18,3.228
55,0.591,10,1200,1210,3,50,18,0.591
56,3.07,15,1230,1245,17,1,18,3.07
57,0.599,8,930,938,1,10,19,-1.0
58,3.07,15,1530,1545,3,10,19,-1.0
59,0.6,1,2123,2124,2,70,19,0.6
60,0.599,1,2126,2127,6,1,19,0.599
61,1.286,5,721,726,1,10,21,1.286
62,1.286,6,1445,1451,3,1,21,1.286
63,0.955,5,1300,1305,1,40,22,0.955
64,0.868,5,1335,1340,12,40,22,0.868
65,1.73,5,1415,1420,11,1,22,1.73
66,3.763,20,815,835,2,70,23,3.763
