,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,6.365,20,1500,1520,1,10,1,6.365
1,6.353,20,2400,2420,3,1,1,6.353
2,8.134,20,815,835,1,70,2,8.134
3,8.134,20,840,900,6,1,2,8.134
4,8.134,19,1456,1515,1,70,2,8.134
5,8.134,28,1522,1550,6,1,2,8.134
6,6.861,20,1700,1720,1,70,2,6.861
7,1.96,7,1723,1730,6,40,2,1.96
8,7.48,15,1735,1750,11,1,2,7.48
9,8.395,20,1110,1130,1,70,3,8.395
10,1.295,10,1140,1150,6,40,3,1.295
11,7.285,30,1220,1250,12,70,3,7.285
12,6.58,20,1300,1320,6,40,3,6.58
13,0.292,5,1335,1340,12,40,3,0.292
14,2.355,15,1520,1535,11,70,3,2.355
15,8.977,20,1550,1610,6,1,3,8.977
16,5.46,8,747,755,1,70,6,5.46
17,31.403,34,758,832,6,20,6,31.403
18,1.8,6,940,946,8,40,6,1.8
19,27.859,37,1026,1103,11,1,6,27.859
20,5.46,8,1839,1847,1,70,6,5.46
21,5.46,8,1901,1909,6,1,6,5.46
22,30.693,30,930,1000,1,10,7,30.693
23,35.544,30,1800,1830,3,40,7,35.544
24,4.739,15,1900,1915,11,1,7,4.739
25,4.562,10,1930,1940,1,80,7,4.562
26,4.437,10,2015,2025,13,1,7,4.437
27,3.842,8,1048,1056,1,10,8,3.842
28,3.837,7,1735,1742,3,1,8,3.837
29,8.194,20,850,910,1,70,10,8.194
30,8.014,17,918,935,6,1,10,8.014
31,8.194,20,1145,1205,1,70,10,8.194
32,8.014,27,1215,1242,8,1,10,-1.0
33,8.581,10,750,800,1,10,11,8.581
34,8.479,11,1530,1541,3,1,11,8.479
35,25.723,42,945,1027,1,30,12,-1.0
36,10.504,18,1047,1105,18,40,12,-1.0
37,15.982,45,1130,1215,11,70,12,-1.0
38,5.242,15,1230,1245,6,40,12,-1.0
39,5.246,15,1400,1415,11,1,12,-1.0
40,8.038,20,625,645,1,10,16,8.038
