,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,2.394,2,530,532,1,10,0,2.394
1,2.395,2,1930,1932,3,1,0,2.395
2,5.527,15,900,915,1,40,1,5.527
3,5.609,15,930,945,11,70,1,5.609
4,7.023,20,1000,1020,6,50,1,7.023
5,4.93,25,1130,1155,16,40,1,4.93
6,0.269,5,1200,1205,12,80,1,0.269
7,6.008,25,1220,1245,13,1,1,6.008
8,7.023,20,1710,1730,1,50,1,-1.0
9,4.517,18,1930,1948,15,80,1,4.517
10,7.189,30,1952,2022,13,1,1,-1.0
11,2.269,12,1530,1542,1,80,2,-1.0
12,183.049,182,1553,1855,13,50,2,-1.0
13,0.661,2,900,902,15,40,3,0.661
14,0.579,2,910,912,11,1,3,0.579
15,0.418,2,1005,1007,1,40,3,0.418
16,0.452,3,1030,1033,11,50,3,0.452
17,1.138,2,1813,1815,15,40,3,1.138
18,1.144,5,1910,1915,11,50,3,1.144
19,10.394,30,530,600,9,10,4,10.394
20,10.361,25,645,710,3,70,4,10.361
21,6.813,20,750,810,6,70,4,6.813
22,6.114,17,813,830,6,10,4,6.114
23,3.389,15,1100,1115,3,80,4,3.389
24,4.309,30,1145,1215,13,10,4,4.309
25,10.361,75,1630,1745,3,1,4,10.361
26,16.479,25,630,655,1,10,5,16.479
27,16.455,25,1830,1855,3,1,5,16.455
28,14.544,25,750,815,1,10,6,14.544
29,14.544,25,1700,1725,3,1,6,14.544
30,2.863,10,845,855,1,10,7,2.863
31,2.722,15,1300,1315,3,10,7,2.722
32,1.786,10,1405,1415,4,10,7,1.786
33,1.094,10,1420,1430,4,10,7,1.094
34,2.918,15,2100,2115,3,1,7,2.918
35,4.956,10,620,630,1,10,9,4.956
36,3.265,10,1515,1525,3,70,9,3.265
37,2.52,9,1526,1535,6,1,9,2.52
38,3.045,10,1630,1640,1,80,9,3.045
39,11.805,20,1650,1710,13,40,9,11.805
40,37.382,55,1720,1815,11,40,9,37.382
41,51.528,75,2215,2330,11,1,9,51.528
42,0.3,15,800,815,1,10,10,0.3
43,1.21,13,817,830,4,40,10,1.21
44,60.0,60,845,945,11,10,10,544.409
45,1.306,15,1100,1115,3,80,10,1.306
46,15.0,15,1200,1215,13,10,10,572.739
47,33.25,75,1600,1715,3,70,10,33.25
48,0.3,14,1716,1730,6,1,10,0.3
49,3.88,10,930,940,1,10,11,3.88
50,3.887,10,1530,1540,3,1,11,3.887
51,3.066,15,1000,1015,1,40,14,3.066
52,2.042,15,1025,1040,12,40,14,2.042
53,1.921,10,1045,1055,14,1,14,1.921
54,6.021,15,745,800,1,30,15,6.021
55,4.683,15,900,915,18,1,15,4.683
56,1.895,5,630,635,1,80,17,1.895
57,3.195,5,640,645,13,80,17,3.195
58,1.432,5,655,700,13,10,17,1.432
59,2.66,15,1115,1130,3,80,17,2.66
60,2.736,20,1145,1205,13,10,17,2.736
61,5.489,15,1615,1630,3,1,17,5.489
62,3.086,20,1745,1805,1,40,17,3.086
63,2.987,25,1835,1900,11,1,17,2.987
64,71.909,95,650,825,7,10,19,71.909
65,20.393,45,1700,1745,4,1,19,20.393
66,11.278,10,1500,1510,1,10,21,11.278
67,2.464,10,1900,1910,3,80,21,2.464
68,4.14,6,1940,1946,13,10,21,4.14
69,7.441,11,2411,2422,3,1,21,7.441
70,13.322,20,725,745,1,10,22,13.322
71,13.319,20,1730,1750,3,1,22,13.319
72,4.935,15,700,715,1,10,23,4.935
73,4.235,15,1530,1545,3,1,23,4.235
74,13.068,60,500,600,1,10,25,13.068
75,2.467,60,1900,2000,3,40,25,2.467
76,11.442,30,2100,2130,11,1,25,11.442
77,26.652,40,650,730,1,70,27,26.652
78,1.865,5,740,745,6,10,27,1.865
79,1.865,5,1300,1305,3,50,27,1.865
80,1.865,5,1350,1355,16,10,27,1.865
81,1.865,5,1845,1850,3,10,27,1.865
82,29.289,40,2045,2125,3,1,27,29.289
83,0.365,2,655,657,1,10,28,0.365
84,13.627,22,1205,1227,3,40,28,13.627
85,4.079,6,1240,1246,14,80,28,4.079
86,9.898,18,1249,1307,13,10,28,9.898
87,0.365,2,1745,1747,3,70,28,0.365
88,49.611,53,1805,1858,6,40,28,49.611
89,49.531,54,1951,2045,11,1,28,49.531
90,2.209,10,715,725,1,10,29,2.209
91,2.199,10,1130,1140,3,1,29,2.199
92,2.209,10,1220,1230,1,1,29,2.209
93,2.199,10,1630,1640,1,1,29,2.199
94,5.121,10,515,525,1,10,31,5.121
95,5.219,20,1335,1355,3,1,31,5.219
96,2.519,15,1400,1415,1,80,31,2.519
97,2.318,15,1425,1440,13,1,31,2.318
98,3.089,10,1100,1110,1,50,32,3.089
99,3.107,15,1315,1330,15,1,32,3.107
100,4.362,15,1630,1645,1,40,32,4.362
101,4.377,15,1715,1730,11,1,32,4.377
102,52.103,60,600,700,1,10,34,52.103
103,52.133,45,1715,1800,3,1,34,52.133
104,12.458,27,910,937,1,40,36,12.458
105,0.9,10,1220,1230,12,40,36,0.9
106,12.743,25,1245,1310,11,1,36,12.743
107,0.707,3,1220,1223,1,50,37,0.707
108,0.154,1,1228,1229,17,40,37,0.154
109,1.631,5,1231,1236,12,40,37,1.631
110,1.454,7,1250,1257,11,40,37,1.454
111,1.529,5,1302,1307,12,40,37,1.529
112,0.627,4,1442,1446,11,40,37,0.627
113,1.161,6,1449,1455,11,1,37,1.161
114,1.559,10,645,655,1,10,40,1.559
115,2.141,14,1545,1559,3,97,40,2.141
116,7.851,15,930,945,1,40,41,7.851
117,3.12,5,950,955,14,40,41,3.12
118,0.253,3,1000,1003,14,80,41,0.253
119,5.115,10,1040,1050,13,1,41,5.115
120,5.616,15,1115,1130,1,40,41,5.616
121,0.745,10,1135,1145,14,40,41,0.745
122,0.745,5,1210,1215,11,50,41,0.745
123,2.29,15,1445,1500,15,40,41,2.29
124,0.809,5,1705,1710,12,80,41,0.809
125,3.864,15,1715,1730,13,1,41,3.864
126,2.854,20,1400,1420,1,40,42,2.854
127,0.814,15,1545,1600,11,80,42,0.814
128,2.036,15,1715,1730,13,1,42,2.036
129,0.527,10,1830,1840,1,50,42,0.527
130,0.527,10,2500,2510,15,1,42,0.527
131,1.003,10,900,910,1,50,43,-1.0
132,8.414,20,1100,1120,1,40,43,8.414
133,2.004,15,1300,1315,11,10,43,2.004
134,1.006,10,1330,1340,17,50,43,-1.0
135,6.729,15,1645,1700,3,50,43,6.729
136,9.433,15,800,815,16,10,44,9.433
137,11.77,15,900,915,3,10,44,11.77
138,8.52,15,1200,1215,4,10,44,8.52
139,4.581,30,1400,1430,4,30,44,4.581
140,1.919,10,1435,1445,18,10,44,1.919
141,7.931,20,1700,1720,3,1,44,7.931
142,2.372,10,700,710,1,50,45,2.372
143,0.177,5,720,725,16,10,45,0.177
144,2.312,30,1645,1715,3,1,45,2.312
145,9.532,20,420,440,1,10,47,9.532
146,9.525,15,1410,1425,3,1,47,9.525
147,16.479,25,630,655,1,10,48,16.479
148,16.455,25,1830,1855,3,1,48,16.455
149,22.584,38,952,1030,7,10,49,22.584
150,22.163,30,1930,2000,3,97,49,22.163
151,4.784,20,740,800,1,10,50,4.784
152,1.489,5,815,820,4,30,50,1.489
153,0.655,10,1000,1010,18,10,50,0.655
154,0.495,10,1030,1040,4,40,50,0.495
155,4.386,15,1100,1115,12,40,50,4.386
156,3.426,10,1200,1210,11,1,50,3.426
157,3.173,15,1915,1930,1,40,50,3.173
158,3.183,15,1945,2000,11,1,50,3.183
159,1.511,13,815,828,1,30,51,1.511
160,1.449,8,910,918,18,1,51,1.449
161,3.982,22,932,954,1,10,51,3.982
162,4.06,28,1620,1648,3,50,51,4.06
163,10.394,30,530,600,9,10,52,10.394
164,10.361,25,645,710,3,70,52,10.361
165,6.813,20,750,810,6,70,52,6.813
166,6.114,17,813,830,6,10,52,6.114
167,3.389,15,1100,1115,3,80,52,3.389
168,4.309,30,1145,1215,13,10,52,4.309
169,10.361,75,1630,1745,3,1,52,10.361
170,0.944,4,448,452,1,10,54,0.944
171,1.169,4,1140,1144,3,1,54,1.169
172,6.382,15,740,755,1,40,55,6.382
173,9.409,15,805,820,12,10,55,9.409
174,15.17,17,835,852,3,1,55,15.17
175,4.258,7,905,912,1,80,55,4.258
176,4.152,9,1006,1015,13,1,55,4.152
177,4.324,8,1050,1058,1,70,55,4.324
178,4.363,15,1100,1115,6,1,55,4.363
179,4.324,15,1145,1200,1,70,55,4.324
