,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,29.194,45,730,815,1,10,0,29.194
1,28.846,45,1815,1900,3,1,0,28.846
2,10.025,30,715,745,1,10,3,10.025
3,9.775,20,1630,1650,3,70,3,9.775
4,9.88,30,1700,1730,6,70,3,9.88
5,5.021,29,1731,1800,6,97,3,5.021
6,5.108,30,2000,2030,5,70,3,5.108
7,9.862,30,2045,2115,6,1,3,9.862
8,3.127,7,800,807,1,10,4,3.127
9,3.167,11,1510,1521,3,1,4,3.167
10,7.685,19,1600,1619,1,50,4,7.685
11,7.461,10,2530,2540,15,1,4,7.461
12,3.422,5,1730,1735,2,50,5,3.422
13,3.421,5,1900,1905,15,1,5,3.421
14,4.37,8,450,458,1,50,6,4.37
15,4.943,10,605,615,16,1,6,4.943
16,18.013,25,730,755,1,10,6,18.013
17,0.853,5,1145,1150,3,50,6,0.853
18,0.835,5,1230,1235,16,10,6,0.835
19,18.208,35,1700,1735,3,1,6,18.208
20,9.648,15,1100,1115,1,40,7,9.648
21,10.378,15,1120,1135,11,40,7,10.378
22,1.987,11,1147,1158,11,1,7,1.987
23,7.689,20,840,900,1,10,8,7.689
24,7.689,15,1709,1724,3,1,8,7.689
25,24.903,35,725,800,1,10,9,24.903
26,7.6,15,1215,1230,3,40,9,7.6
27,7.578,15,1330,1345,14,10,9,7.578
28,24.908,30,1600,1630,3,1,9,24.908
29,9.469,15,1845,1900,1,70,9,9.469
30,52.346,60,1930,2030,6,50,9,52.346
31,54.449,60,2500,2600,17,1,9,54.449
32,3.812,7,715,722,1,70,10,3.812
33,5.879,12,730,742,6,10,10,5.879
34,2.821,8,1050,1058,3,40,10,2.821
35,2.813,10,1210,1220,12,10,10,2.813
36,5.881,15,1700,1715,3,70,10,5.881
37,3.432,10,1725,1735,6,70,10,3.432
38,3.336,12,1850,1902,6,1,10,3.336
39,4.486,10,730,740,1,20,11,4.486
40,4.487,7,1530,1537,8,1,11,4.487
41,6.181,15,715,730,1,20,12,6.181
42,5.714,15,1200,1215,8,10,12,5.714
43,5.742,20,1740,1800,3,20,12,5.742
44,6.395,12,1930,1942,8,1,12,6.395
45,6.181,15,715,730,1,20,13,6.181
46,5.714,15,1200,1215,8,10,13,5.714
47,5.742,20,1740,1800,3,20,13,5.742
48,6.395,12,1930,1942,8,1,13,6.395
49,5.493,10,730,740,1,70,14,5.493
50,5.603,9,741,750,6,10,14,5.603
51,9.13,15,1630,1645,3,1,14,9.13
52,4.941,15,700,715,1,10,16,4.941
53,5.182,25,1650,1715,3,1,16,5.182
54,1.66,5,645,650,1,80,17,1.66
55,25.629,30,655,725,13,10,17,25.629
56,27.202,40,1600,1640,3,1,17,27.202
57,2.415,5,1845,1850,1,70,17,2.415
58,2.747,5,1905,1910,6,1,17,2.747
59,6.398,14,1616,1630,1,40,18,6.398
60,6.274,12,1810,1822,11,1,18,6.274
61,1.073,5,1912,1917,1,40,18,1.073
62,1.073,4,2021,2025,14,1,18,1.073
63,16.033,25,925,950,1,10,19,16.033
64,16.227,25,1905,1930,3,1,19,16.227
65,6.181,15,715,730,1,20,20,6.181
66,5.714,15,1200,1215,8,10,20,5.714
67,5.742,20,1740,1800,3,20,20,5.742
68,6.395,12,1930,1942,8,1,20,6.395
69,11.059,19,705,724,1,10,21,11.059
70,1.768,7,1659,1706,3,40,21,1.768
71,2.391,5,1716,1721,11,40,21,2.391
72,1.777,6,1727,1733,12,40,21,1.777
73,10.524,7,1740,1747,11,40,21,10.524
74,6.538,5,1751,1756,11,1,21,6.538
75,3.04,10,730,740,1,70,23,3.04
76,12.019,15,745,800,6,10,23,12.019
77,15.168,15,1715,1730,3,1,23,15.168
78,5.715,10,845,855,1,80,24,5.715
79,3.255,15,900,915,13,20,24,3.255
80,0.461,2,1443,1445,8,30,24,0.461
81,1.33,3,1520,1523,18,97,24,1.33
82,4.39,17,1548,1605,5,40,24,4.39
83,2.652,15,1625,1640,11,40,24,2.652
84,6.975,15,1935,1950,11,1,24,6.975
85,21.12,20,500,520,1,10,25,21.12
86,21.521,25,1800,1825,3,1,25,21.521
87,107.172,135,615,830,1,10,26,107.172
88,0.841,5,930,935,4,50,26,0.841
89,0.78,5,1010,1015,15,10,26,0.78
90,0.781,5,1115,1120,4,97,26,0.781
91,96.863,95,1125,1300,97,70,26,96.863
92,15.57,35,1500,1535,6,70,26,15.57
93,8.889,20,1540,1600,6,30,26,8.889
94,1.807,15,1700,1715,18,40,26,1.807
95,13.401,30,1800,1830,11,1,26,13.401
96,24.747,40,1000,1040,1,10,27,24.747
97,24.625,40,1900,1940,3,1,27,24.625
98,8.112,25,600,625,1,10,29,8.112
99,8.181,30,1530,1600,3,1,29,8.181
100,33.205,30,730,800,1,10,30,33.205
101,33.224,30,1630,1700,3,1,30,33.224
102,1.123,4,908,912,1,70,31,1.123
103,7.605,21,918,939,6,30,31,7.605
104,7.595,22,1048,1110,18,70,31,7.595
105,1.123,5,1125,1130,6,1,31,1.123
106,2.804,10,1415,1425,1,80,31,2.804
107,4.74,15,1435,1450,13,10,31,4.74
108,7.536,25,1700,1725,3,1,31,7.536
109,2.988,10,930,940,2,40,32,2.988
110,2.975,10,1015,1025,11,1,32,2.975
111,3.988,15,1410,1425,1,30,32,3.988
112,4.121,10,1500,1510,18,1,32,4.121
113,20.454,17,935,952,1,20,33,20.454
114,46.192,50,1105,1155,19,80,33,46.192
115,0.377,4,1311,1315,11,40,33,0.377
116,0.532,10,1350,1400,11,40,33,0.532
117,0.172,5,1445,1450,11,40,33,0.172
118,0.592,6,1545,1551,11,80,33,0.592
119,1.022,10,1615,1625,13,40,33,1.022
120,61.864,55,1700,1755,11,1,33,61.864
121,0.495,5,830,835,1,20,35,0.495
122,0.495,5,945,950,19,1,35,0.495
123,10.911,15,1130,1145,1,10,35,10.911
124,10.911,15,2100,2115,3,1,35,10.911
125,3.04,10,1700,1710,2,70,37,3.04
126,3.039,5,1715,1720,6,1,37,3.039
127,20.112,25,735,800,1,10,38,20.112
128,19.978,30,1445,1515,3,10,38,19.978
129,43.267,47,1100,1147,3,1,39,43.267
130,21.598,30,1230,1300,1,10,40,21.598
131,21.552,30,2430,2500,3,1,40,21.552
132,18.245,27,728,755,1,10,41,18.245
133,1.59,8,1304,1312,3,40,41,1.59
134,1.59,7,1328,1335,11,10,41,1.59
135,18.257,25,1700,1725,3,1,41,18.257
136,9.57,15,630,645,1,10,42,9.57
137,9.591,15,1715,1730,3,1,42,9.591
138,4.617,30,500,530,1,10,44,4.617
139,4.622,15,1530,1545,3,1,44,4.622
140,0.907,9,750,759,1,20,45,-1.0
141,0.894,5,815,820,6,1,45,0.894
142,0.908,5,918,923,1,10,45,0.908
143,0.894,6,1330,1336,3,1,45,0.894
144,10.025,30,715,745,1,10,46,10.025
145,9.775,20,1630,1650,3,70,46,9.775
146,9.88,30,1700,1730,6,70,46,9.88
147,5.021,29,1731,1800,6,97,46,5.021
148,5.108,30,2000,2030,5,70,46,5.108
149,9.862,30,2045,2115,6,1,46,9.862
150,2.744,10,740,750,1,10,47,2.744
151,2.737,10,940,950,3,1,47,2.737
152,2.744,10,1020,1030,1,10,47,2.744
153,1.564,10,1135,1145,3,80,47,1.564
154,1.572,10,1155,1205,13,10,47,1.572
155,2.737,10,1705,1715,3,10,47,2.737
156,2.744,10,1815,1825,3,20,47,2.744
157,2.737,10,1950,2000,19,1,47,2.737
158,22.718,30,730,800,1,10,48,22.718
159,22.718,30,1400,1430,3,1,48,22.718
160,24.132,60,1130,1230,1,30,49,24.132
161,4.398,30,1600,1630,18,50,49,4.398
162,24.226,45,1730,1815,17,40,49,24.226
163,0.644,10,1830,1840,11,1,49,0.644
164,2.138,5,455,500,1,10,50,2.138
165,2.257,5,1600,1605,3,1,50,2.257
166,15.269,20,2000,2020,1,50,50,15.269
167,15.269,20,2200,2220,17,1,50,15.269
168,3.337,9,712,721,1,20,51,3.337
169,3.318,10,1457,1507,8,1,51,3.318
