,TRPMILES,TRVLCMIN,STRTTIME,ENDTIME,WHYFROM,WHYTRP1S,DAY,VMT_MILE
0,3.365,5,1145,1150,1,80,0,3.365
1,3.286,15,1200,1215,13,1,0,3.286
2,3.027,20,1325,1345,1,40,0,3.027
3,3.027,15,1415,1430,11,1,0,3.027
4,3.365,10,2120,2130,1,80,0,-1.0
5,3.286,10,2235,2245,13,40,0,-1.0
6,3.583,10,1405,1415,17,20,1,3.583
7,143.766,144,1740,2004,19,40,1,143.766
8,42.351,36,2009,2045,11,80,1,42.351
9,45.323,55,2140,2235,13,1,1,-1.0
10,14.538,20,1010,1030,17,40,1,14.538
11,13.965,25,1150,1215,11,80,1,13.965
12,1.026,10,1225,1235,13,50,1,1.026
13,3.583,10,1405,1415,17,20,1,-1.0
14,143.766,144,1740,2004,19,40,1,-1.0
15,42.351,36,2009,2045,11,80,1,-1.0
16,45.323,55,2140,2235,13,1,1,45.323
17,19.783,20,1100,1120,1,80,3,19.783
18,0.32,2,1150,1152,13,40,3,0.32
19,19.91,20,1215,1235,11,1,3,19.91
20,19.783,20,1100,1120,1,80,3,-1.0
21,0.32,2,1150,1152,13,40,3,-1.0
22,19.91,20,1215,1235,11,1,3,-1.0
23,13.998,30,1630,1700,1,80,5,-1.0
24,14.145,25,1850,1915,13,1,5,-1.0
25,51.845,65,610,715,1,10,7,51.845
26,51.226,76,1630,1746,3,1,7,51.226
27,59.871,60,630,730,1,10,8,59.871
28,61.334,75,1615,1730,3,1,8,61.334
29,10.224,20,1130,1150,1,80,9,10.224
30,9.876,20,1230,1250,13,1,9,9.876
31,5.69,14,1045,1059,1,40,10,5.69
32,2.891,10,1107,1117,11,40,10,2.891
33,2.445,7,1157,1204,11,1,10,2.445
34,5.181,13,1501,1514,1,40,10,5.181
35,5.17,15,1519,1534,11,1,10,5.17
36,11.41,23,1623,1646,1,20,10,11.41
37,6.498,18,1653,1711,19,50,10,6.498
38,11.262,20,1844,1904,16,1,10,11.262
39,7.581,20,648,708,1,70,11,7.581
40,9.434,10,710,720,6,1,11,9.434
41,11.213,22,1600,1622,1,40,11,11.213
42,4.654,12,1659,1711,11,50,11,4.654
43,10.189,19,1754,1813,17,50,11,10.189
44,0.634,5,2215,2220,17,1,11,0.634
45,4.457,10,1115,1125,1,40,12,4.457
46,4.66,10,1155,1205,11,1,12,4.66
47,15.43,25,1100,1125,1,40,14,15.43
48,14.701,40,1130,1210,12,40,14,14.701
49,2.363,10,1215,1225,11,1,14,2.363
50,5.245,13,1640,1653,1,40,14,5.245
51,4.951,15,1730,1745,11,1,14,4.951
52,6.473,20,1405,1425,1,40,16,6.473
53,6.473,20,1530,1550,11,1,16,6.473
54,51.035,95,430,605,1,10,17,51.035
55,50.657,80,1820,1940,3,1,17,50.657
56,9.444,20,635,655,1,10,18,9.444
57,8.978,20,1210,1230,3,70,18,8.978
58,11.312,15,1235,1250,6,80,18,11.312
59,0.163,5,1430,1435,13,40,18,0.163
60,6.83,25,1455,1520,11,80,18,6.83
61,1.661,10,1545,1555,13,40,18,1.661
62,6.289,26,1559,1625,11,1,18,6.289
63,3.986,10,1815,1825,1,80,18,-1.0
64,3.743,6,1830,1836,13,50,18,-1.0
65,1.833,5,1855,1900,17,20,18,-1.0
66,9.229,25,2000,2025,19,1,18,-1.0
67,3.968,10,1815,1825,1,80,18,3.968
68,3.743,6,1830,1836,13,50,18,3.743
69,1.833,5,1855,1900,17,20,18,1.833
70,9.229,25,2000,2025,19,1,18,9.229
71,14.22,75,915,1030,1,50,19,14.22
72,8.723,30,1130,1200,16,40,19,8.723
73,6.439,20,1235,1255,14,1,19,6.439
74,14.42,25,1350,1415,1,30,20,-1.0
75,14.392,31,1556,1627,18,1,20,-1.0
76,14.42,25,1350,1415,1,30,20,14.42
77,14.392,31,1556,1627,18,1,20,14.392
78,3.079,10,1530,1540,1,40,21,3.079
79,3.079,15,1545,1600,14,1,21,3.079
80,3.16,10,1800,1810,2,80,22,3.16
81,1.387,5,2100,2105,13,40,22,1.387
82,2.237,10,2145,2155,11,1,22,2.237
83,3.16,10,1800,1810,1,80,22,-1.0
84,1.387,5,2100,2105,13,40,22,-1.0
85,2.237,10,2145,2155,11,1,22,-1.0
86,9.989,15,1100,1115,1,40,23,9.989
87,1.111,10,1120,1130,11,70,23,1.111
88,40.482,29,1131,1200,6,20,23,40.482
89,40.481,35,1545,1620,19,70,23,40.481
90,8.177,24,1621,1645,6,20,23,8.177
91,7.243,15,1800,1815,19,40,23,7.243
92,10.171,15,1845,1900,11,1,23,10.171
93,11.093,30,1530,1600,1,80,24,11.093
94,0.457,5,900,905,17,80,26,0.457
95,11.793,15,930,945,13,40,26,11.793
96,0.049,15,1020,1035,11,40,26,0.049
97,19.476,60,1100,1200,14,1,26,19.476
98,6.828,10,1245,1255,1,97,27,6.828
99,2.382,10,1430,1440,5,50,27,2.382
100,1.052,10,1445,1455,17,40,27,1.052
101,1.431,5,1545,1550,11,80,27,1.431
102,0.85,8,1557,1605,13,40,27,0.85
103,3.722,10,1610,1620,14,1,27,3.722
104,6.828,25,1230,1255,1,97,27,-1.0
105,2.382,10,1430,1440,5,50,27,-1.0
106,1.052,10,1445,1455,17,40,27,-1.0
107,1.431,10,1540,1550,11,80,27,-1.0
108,0.85,8,1557,1605,13,40,27,-1.0
109,3.722,10,1610,1620,14,1,27,-1.0
110,6.376,10,1330,1340,1,40,29,-1.0
111,1.179,5,1400,1405,11,40,29,-1.0
112,11.208,20,1415,1435,11,10,29,-1.0
113,14.142,15,1840,1855,3,1,29,-1.0
114,5.635,10,1020,1030,1,50,29,5.635
115,5.612,10,1230,1240,15,1,29,5.612
116,6.376,10,1330,1340,1,40,29,6.376
117,1.179,5,1400,1405,11,40,29,1.179
118,11.208,20,1415,1435,11,10,29,11.208
119,14.142,15,1840,1855,3,1,29,14.142
120,26.631,45,845,930,1,40,30,26.631
121,0.994,5,1020,1025,11,80,30,0.994
122,27.022,115,1033,1228,13,1,30,27.022
123,8.19,15,830,845,1,40,31,-1.0
124,8.672,15,1000,1015,11,1,31,-1.0
125,8.19,15,830,845,1,40,31,8.19
126,8.672,15,1000,1015,11,1,31,8.672
127,17.941,50,700,750,1,10,32,17.941
128,17.099,45,1600,1645,3,1,32,17.099
129,2.356,4,1222,1226,1,40,35,2.356
130,0.763,4,1236,1240,11,40,35,0.763
131,0.578,1,1241,1242,14,40,35,0.578
132,2.448,5,1315,1320,11,1,35,2.448
133,3.905,10,1330,1340,1,80,38,3.905
134,0.394,7,1430,1437,13,40,38,0.394
135,4.162,12,1529,1541,11,1,38,4.162
136,4.885,10,900,910,1,40,40,4.885
137,4.885,13,927,940,12,70,40,4.885
138,12.643,35,1000,1035,6,40,40,12.643
139,3.354,4,1056,1100,11,40,40,3.354
140,16.362,27,1155,1222,11,1,40,16.362
141,16.359,29,931,1000,1,30,41,-1.0
142,2.444,10,1430,1440,18,80,41,-1.0
143,5.396,12,1445,1457,13,40,41,-1.0
144,12.177,24,1511,1535,14,1,41,-1.0
145,16.359,29,931,1000,1,30,41,16.359
146,2.444,10,1430,1440,18,80,41,2.444
147,5.396,12,1445,1457,13,40,41,5.396
148,12.177,24,1511,1535,14,1,41,12.177
149,16.825,30,1100,1130,1,40,43,16.825
150,1.163,15,1230,1245,11,40,43,1.163
151,3.634,20,1330,1350,11,80,43,3.634
152,15.571,35,1410,1445,13,1,43,15.571
153,3.015,7,1027,1034,1,97,45,3.015
154,1.999,6,1239,1245,5,80,45,1.999
155,1.979,7,1323,1330,13,97,45,1.979
156,3.015,7,1455,1502,5,1,45,3.015
157,3.041,7,1957,2004,1,40,45,3.041
158,3.041,8,2008,2016,12,1,45,3.041
159,21.792,45,800,845,1,30,46,-1.0
160,12.595,60,1130,1230,18,40,46,-1.0
161,0.579,4,1400,1404,11,40,46,-1.0
162,8.793,26,1409,1435,11,1,46,-1.0
163,21.792,45,800,845,1,30,46,21.792
164,12.595,60,1130,1230,18,40,46,12.595
165,0.579,4,1400,1404,11,40,46,0.579
166,8.793,26,1409,1435,11,1,46,8.793
167,8.042,12,815,827,7,10,48,8.042
168,3.128,19,1652,1711,3,40,48,3.128
169,7.864,15,1726,1741,11,50,48,7.864
170,10.739,11,1830,1841,17,40,48,10.739
171,0.158,2,1850,1852,11,40,48,0.158
172,0.34,6,1909,1915,12,80,48,0.34
173,0.361,2,1932,1934,13,80,48,0.361
174,6.639,13,1948,2001,13,97,48,6.639
175,2.216,10,1215,1225,1,40,49,2.216
176,0.596,15,1245,1300,11,40,49,0.596
177,2.461,15,1335,1350,11,1,49,2.461
178,7.581,20,648,708,1,70,56,7.581
179,9.434,10,710,720,6,1,56,9.434
180,11.213,22,1600,1622,1,40,56,11.213
181,4.654,12,1659,1711,11,50,56,4.654
182,10.189,19,1754,1813,17,50,56,10.189
183,0.634,5,2215,2220,17,1,56,0.634
184,0.536,2,1400,1402,1,70,57,0.536
185,2.755,2,1415,1417,6,40,57,2.755
186,0.394,6,1420,1426,14,40,57,0.394
187,8.604,14,1456,1510,11,70,57,8.604
188,0.536,5,1525,1530,6,1,57,0.536
189,13.896,15,1300,1315,1,40,58,-1.0
190,13.854,60,1345,1445,11,1,58,-1.0
191,13.896,15,1300,1315,1,40,58,13.896
192,13.854,30,1330,1400,11,1,58,13.854
193,5.69,14,1045,1059,1,40,59,5.69
194,2.891,10,1107,1117,11,40,59,2.891
195,2.445,7,1157,1204,11,1,59,2.445
196,5.181,13,1501,1514,1,40,59,5.181
197,5.17,15,1519,1534,11,1,59,5.17
198,11.41,23,1623,1646,1,20,59,11.41
199,6.498,18,1653,1711,19,50,59,6.498
200,11.262,20,1844,1904,16,1,59,11.262
201,22.0,60,930,1030,1,1,60,22.0
202,10.839,45,930,1015,1,40,60,-1.0
203,10.36,15,1030,1045,11,1,60,-1.0
204,17.722,25,1130,1155,1,40,61,17.722
205,17.11,45,1245,1330,11,1,61,17.11
206,17.722,25,1130,1155,1,40,61,-1.0
207,17.11,45,1245,1330,11,1,61,-1.0
208,10.453,45,930,1015,1,40,62,10.453
209,0.803,5,1020,1025,14,40,62,0.803
210,9.74,30,1030,1100,14,1,62,9.74
211,12.486,15,1345,1400,1,40,62,12.486
212,12.314,15,1405,1420,14,1,62,12.314
213,10.453,15,1000,1015,1,40,62,-1.0
214,0.803,5,1020,1025,14,40,62,-1.0
215,9.74,30,1030,1100,14,1,62,-1.0
216,3.723,7,950,957,1,97,66,3.723
217,0.334,4,1005,1009,5,40,66,0.334
218,4.094,8,1100,1108,14,1,66,4.094
219,5.511,15,1445,1500,1,30,66,5.511
220,1.995,14,1545,1559,18,50,66,1.995
221,4.918,10,1636,1646,17,1,66,4.918
222,3.1,15,800,815,1,70,67,3.1
223,63.276,65,840,945,6,50,67,63.276
224,39.927,45,1500,1545,17,40,67,39.927
225,24.314,25,1610,1635,11,70,67,24.314
226,3.099,10,1640,1650,6,1,67,3.099
227,12.02,20,1130,1150,1,30,68,12.02
228,21.618,20,1330,1350,18,40,68,21.618
229,22.562,20,1435,1455,12,80,68,22.562
230,5.838,20,1510,1530,13,1,68,5.838
231,17.688,30,745,815,1,30,69,-1.0
232,17.731,30,1115,1145,18,1,69,-1.0
233,17.687,30,745,815,1,30,69,17.687
234,17.731,30,1115,1145,18,1,69,17.731
235,11.415,30,830,900,1,40,70,11.415
236,1.84,10,1100,1110,12,50,70,1.84
237,17.421,15,1415,1430,16,70,70,17.421
238,14.63,25,1435,1500,6,70,70,14.63
239,14.136,30,1600,1630,6,1,70,14.136
240,4.882,30,1830,1900,1,40,70,-1.0
241,4.881,30,2100,2130,11,1,70,-1.0
242,4.882,15,1845,1900,1,40,70,4.882
243,4.881,30,2100,2130,11,1,70,4.881
244,14.629,15,1445,1500,1,40,70,-1.0
245,14.136,30,1600,1630,14,1,70,-1.0
246,4.559,20,1230,1250,1,40,72,4.559
247,0.376,5,1400,1405,12,80,72,0.376
248,4.393,20,1415,1435,13,1,72,4.393
249,6.475,20,1500,1520,1,40,72,6.475
250,1.263,5,1545,1550,11,40,72,1.263
251,5.7,20,1605,1625,11,1,72,5.7
252,3.272,15,1230,1245,7,40,73,-1.0
253,0.448,5,1315,1320,14,40,73,-1.0
254,1.999,20,1330,1350,11,80,73,-1.0
